frame_id,time_sec,logical_vehicle_id,raw_track_id,tracklet_id,source,class_name,confidence,x1,y1,x2,y2,center_x,center_y,association_status,vehicle_validity_status,purity_status,final_gate_status
3,0.06,lv_0002,mot_0002,mot_0002_tl01,detected,car,0.903888,973.58,469.01,1034.87,530.09,1004.22,499.55,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
3,0.06,lv_0003,mot_0003,mot_0003_tl01,detected,car,0.895724,1195.14,592.76,1263.01,660.60,1229.08,626.68,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
3,0.06,lv_0004,mot_0004,mot_0004_tl01,detected,car,0.928591,1062.02,585.85,1130.66,655.26,1096.34,620.56,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
3,0.06,lv_0005,mot_0006,mot_0006_tl01,detected,car,0.852474,911.44,287.85,954.40,324.69,932.92,306.27,accepted,AUTO_KEEP,PURITY_REVIEW,REVIEW_ONLY_IF_UNCERTAIN
3,0.06,lv_0006,mot_0007,mot_0007_tl01,detected,car,0.809331,989.93,361.76,1040.77,407.63,1015.35,384.69,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
3,0.06,lv_0007,mot_0008,mot_0008_tl01,detected,car,0.825033,838.47,209.83,880.67,246.01,859.57,227.92,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
3,0.06,lv_0008,mot_0009,mot_0009_tl01,detected,truck,0.702614,1418.08,543.91,1504.54,675.17,1461.31,609.54,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
3,0.06,lv_0009,mot_0010,mot_0010_tl01,detected,car,0.796612,1464.98,336.02,1525.11,376.05,1495.05,356.03,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
3,0.06,lv_0010,mot_0011,mot_0011_tl01,detected,car,0.563492,786.68,201.89,828.37,245.12,807.52,223.50,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
4,0.08,lv_0001,mot_0001,mot_0001_tl01,detected,car,0.918647,1338.86,965.51,1430.53,1060.95,1384.69,1013.23,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
4,0.08,lv_0002,mot_0002,mot_0002_tl01,detected,car,0.905561,974.69,470.55,1035.50,531.18,1005.10,500.87,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
4,0.08,lv_0003,mot_0003,mot_0003_tl01,detected,car,0.890892,1193.45,590.75,1260.91,658.16,1227.18,624.45,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
4,0.08,lv_0004,mot_0004,mot_0004_tl01,detected,car,0.927614,1063.00,587.04,1132.02,656.83,1097.51,621.93,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
4,0.08,lv_0005,mot_0006,mot_0006_tl01,detected,car,0.837909,910.44,286.74,953.96,323.99,932.20,305.37,accepted,AUTO_KEEP,PURITY_REVIEW,REVIEW_ONLY_IF_UNCERTAIN
4,0.08,lv_0006,mot_0007,mot_0007_tl01,detected,car,0.847068,989.30,360.95,1039.71,406.42,1014.50,383.69,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
4,0.08,lv_0007,mot_0008,mot_0008_tl01,detected,car,0.773271,837.43,209.02,879.22,244.88,858.33,226.95,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
4,0.08,lv_0008,mot_0009,mot_0009_tl01,detected,truck,0.714336,1419.03,543.28,1505.49,674.31,1462.26,608.79,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
4,0.08,lv_0009,mot_0010,mot_0010_tl01,detected,car,0.819391,1464.91,336.03,1525.07,376.07,1494.99,356.05,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
4,0.08,lv_0010,mot_0011,mot_0011_tl01,detected,car,0.555580,786.68,201.90,828.36,245.13,807.52,223.51,accepted,AUTO_KEEP,PURITY_PASS,AUTO_KEEP
