tracklet_id,raw_track_id,class_name,start_frame,end_frame,frame_count,mean_confidence,start_center_x,start_center_y,end_center_x,end_center_y
mot_0420_tl05,mot_0420,truck,1398,1402,5,0.3136,662.10,92.22,663.52,93.31
mot_0424_tl03,mot_0424,car,1411,1438,28,0.5514,661.31,107.09,673.32,122.08
mot_0424_tl04,mot_0424,truck,1440,1445,6,0.3335,675.37,123.53,678.54,125.34
mot_0424_tl05,mot_0424,car,1447,1512,66,0.6277,680.26,126.68,718.38,170.80
mot_0011_tl08,mot_0011,car,1477,1527,51,0.5463,1007.53,422.31,1067.53,460.47
mot_0424_tl06,mot_0424,car,1514,1518,5,0.3917,726.47,171.75,729.76,174.76
mot_0488_tl01,mot_0488,car,1515,1536,22,0.3414,1728.79,446.63,1726.54,446.81
mot_0424_tl07,mot_0424,car,1520,1572,53,0.5237,730.37,176.21,751.83,204.15
mot_0500_tl01,mot_0500,car,1522,1535,14,0.3214,1711.03,216.83,1709.30,217.00
mot_0011_tl09,mot_0011,car,1529,1563,35,0.5228,1070.85,462.28,1128.04,489.22
mot_0488_tl02,mot_0488,car,1539,1556,18,0.3055,1725.69,446.72,1725.16,446.19
mot_0527_tl01,mot_0527,car,1541,1541,1,0.3285,1341.14,679.14,1341.14,679.14
mot_0527_tl02,mot_0527,car,1544,1546,3,0.3195,1334.38,677.77,1330.07,676.94
mot_0392_tl03,mot_0392,car,1548,1548,1,0.2568,1682.45,482.19,1682.45,482.19
mot_0488_tl03,mot_0488,car,1563,1577,15,0.4262,1726.01,446.27,1728.33,447.17
mot_0500_tl02,mot_0500,car,1564,1596,33,0.3437,1709.70,217.23,1711.45,217.05
mot_0011_tl10,mot_0011,car,1565,1822,258,0.8073,1131.38,490.61,1704.96,474.93
mot_0527_tl03,mot_0527,car,1572,1572,1,0.2852,1275.43,665.83,1275.43,665.83
mot_0527_tl04,mot_0527,car,1574,1574,1,0.3482,1270.57,665.40,1270.57,665.40
mot_0488_tl04,mot_0488,car,1579,1580,2,0.3613,1728.15,447.12,1728.03,447.06
mot_0488_tl05,mot_0488,car,1582,1605,24,0.4108,1727.64,446.69,1730.60,446.98
mot_0566_tl01,mot_0566,car,1583,1979,397,0.8264,1591.66,968.22,1705.42,454.73
mot_0570_tl01,mot_0570,car,1588,1644,57,0.7867,1789.18,436.39,1904.07,380.63
mot_0424_tl08,mot_0424,car,1595,1999,405,0.6175,762.17,214.57,770.41,233.50
mot_0580_tl01,mot_0580,car,1595,1999,405,0.6019,1268.78,171.78,1269.79,172.39
mot_0588_tl01,mot_0588,car,1618,1619,2,0.3619,556.42,12.32,556.63,12.68
mot_0588_tl02,mot_0588,car,1622,1662,41,0.6097,562.01,14.38,587.43,41.80
mot_0570_tl02,mot_0570,car,1646,1650,5,0.5238,1906.65,378.68,1912.15,375.18
mot_0394_tl02,mot_0394,car,1662,1662,1,0.3130,635.92,6.83,635.92,6.83
mot_0588_tl03,mot_0588,car,1664,1667,4,0.4963,593.66,45.12,593.94,46.74
mot_0588_tl04,mot_0588,car,1670,1670,1,0.3717,598.84,49.51,598.84,49.51
mot_0621_tl01,mot_0621,car,1710,1826,117,0.6540,622.23,76.44,691.00,148.59
mot_0622_tl01,mot_0622,car,1711,1722,12,0.4991,541.17,14.66,551.29,27.24
mot_0622_tl02,mot_0622,car,1724,1724,1,0.5089,553.82,29.48,553.82,29.48
mot_0622_tl03,mot_0622,car,1727,1728,2,0.3376,556.05,31.69,556.86,32.67
mot_0622_tl04,mot_0622,car,1731,1740,10,0.3724,559.88,36.86,567.80,46.78
mot_0622_tl05,mot_0622,car,1742,1743,2,0.3792,569.70,48.06,570.63,49.20
mot_0622_tl06,mot_0622,car,1746,1747,2,0.3750,573.45,51.04,574.28,51.57
mot_0622_tl07,mot_0622,car,1749,1749,1,0.3303,575.12,55.36,575.12,55.36
mot_0622_tl08,mot_0622,car,1752,1759,8,0.3845,579.25,58.93,583.97,64.82
mot_0622_tl09,mot_0622,car,1766,1766,1,0.5328,592.61,73.82,592.61,73.82
mot_0622_tl10,mot_0622,car,1774,1774,1,0.6031,606.62,84.50,606.62,84.50
mot_0622_tl11,mot_0622,car,1776,1790,15,0.4611,607.49,86.03,614.62,97.37
mot_0622_tl12,mot_0622,car,1796,1819,24,0.4939,623.25,105.12,643.02,129.72
mot_0622_tl13,mot_0622,car,1821,1822,2,0.3778,640.88,131.25,642.45,132.26
mot_0622_tl14,mot_0622,car,1824,1824,1,0.3529,644.37,133.73,644.37,133.73
mot_0622_tl15,mot_0622,car,1826,1826,1,0.3529,645.86,137.29,645.86,137.29
mot_0621_tl02,mot_0621,car,1828,1981,154,0.6122,691.93,149.70,732.23,193.94
mot_0622_tl16,mot_0622,car,1828,1831,4,0.3994,646.64,139.56,651.14,141.86
mot_0622_tl17,mot_0622,car,1838,1838,1,0.2611,656.83,149.00,656.83,149.00
mot_0622_tl18,mot_0622,car,1840,1844,5,0.5148,658.21,150.42,659.62,153.18
mot_0670_tl01,mot_0670,car,1844,1919,76,0.8345,1766.44,447.94,1902.22,381.52
mot_0622_tl19,mot_0622,car,1846,1846,1,0.3973,660.57,154.46,660.57,154.46
mot_0622_tl20,mot_0622,car,1858,1858,1,0.2928,671.02,167.91,671.02,167.91
mot_0622_tl21,mot_0622,car,1864,1872,9,0.3746,676.00,172.82,680.99,178.32
mot_0622_tl22,mot_0622,car,1874,1884,11,0.5649,681.55,178.76,688.95,189.28
mot_0622_tl23,mot_0622,car,1886,1886,1,0.3262,691.21,191.00,691.21,191.00
mot_0622_tl24,mot_0622,car,1888,1936,49,0.5640,696.01,193.05,717.23,218.47
mot_0670_tl02,mot_0670,car,1921,1921,1,0.3850,1904.26,380.40,1904.26,380.40
mot_0622_tl25,mot_0622,car,1940,1940,1,0.2669,718.62,221.27,718.62,221.27
mot_0622_tl26,mot_0622,car,1944,1953,10,0.4697,720.29,224.52,724.23,226.27
mot_0622_tl27,mot_0622,car,1970,1970,1,0.2523,727.19,231.26,727.19,231.26
mot_0621_tl03,mot_0621,car,1983,1999,17,0.7093,732.70,194.16,733.80,195.26
