from_tracklet_id,to_tracklet_id,from_raw_track_id,to_raw_track_id,from_end_frame,to_start_frame,gap_frames,predicted_distance_px,size_ratio,link_cost,link_status,review_status
mot_0488_tl03,mot_0488_tl04,mot_0488,mot_0488,1577,1579,1,0.53,1.00,2.53,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0488_tl03,mot_0488_tl05,mot_0488,mot_0488,1577,1582,4,1.71,1.00,9.71,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0488_tl03,mot_0566_tl01,mot_0488,mot_0566,1577,1583,5,538.55,2.40,551.55,REJECT_DISTANCE,PENDING_REVIEW
mot_0488_tl03,mot_0570_tl01,mot_0488,mot_0570,1577,1588,10,60.15,1.54,83.15,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0488_tl04,mot_0488_tl05,mot_0488,mot_0488,1580,1582,1,0.28,1.00,2.28,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0488_tl04,mot_0566_tl01,mot_0488,mot_0566,1580,1583,2,538.80,2.39,545.80,REJECT_DISTANCE,PENDING_REVIEW
mot_0488_tl04,mot_0570_tl01,mot_0488,mot_0570,1580,1588,7,62.98,1.54,79.98,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0588_tl01,mot_0588_tl02,mot_0588,mot_0588,1619,1622,2,4.81,1.04,8.81,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0570_tl01,mot_0570_tl02,mot_0570,mot_0570,1644,1646,1,1.52,1.19,3.52,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0394_tl01,mot_0394_tl02,mot_0394,mot_0394,1660,1662,1,4.61,1.15,6.61,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0394_tl01,mot_0588_tl03,mot_0394,mot_0588,1660,1664,3,58.54,2.14,67.54,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0394_tl01,mot_0588_tl04,mot_0394,mot_0588,1660,1670,9,67.59,1.93,88.59,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0394_tl02,mot_0588_tl03,mot_0394,mot_0588,1662,1664,1,57.03,2.46,62.03,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0394_tl02,mot_0588_tl04,mot_0394,mot_0588,1662,1670,7,56.54,2.22,73.54,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0588_tl02,mot_0588_tl03,mot_0588,mot_0588,1662,1664,1,5.33,1.26,7.33,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0588_tl02,mot_0588_tl04,mot_0588,mot_0588,1662,1670,7,6.71,1.19,20.71,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0588_tl03,mot_0588_tl04,mot_0588,mot_0588,1667,1670,2,4.76,1.21,8.76,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl01,mot_0622_tl02,mot_0622,mot_0622,1722,1724,1,0.69,1.04,2.69,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl01,mot_0622_tl03,mot_0622,mot_0622,1722,1727,4,1.28,1.03,9.28,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl01,mot_0622_tl04,mot_0622,mot_0622,1722,1731,8,0.73,1.13,16.73,ACCEPT_CANDIDATE,AUTO_ACCEPT
mot_0622_tl02,mot_0622_tl03,mot_0622,mot_0622,1724,1727,2,3.14,1.01,7.14,ACCEPT_CANDIDATE,AUTO_ACCEPT
